target,quantile,year,n,mean_probability,median_probability,p90_probability,high_prob_050_rate,high_prob_080_rate
A,0.9,2027,942,0.12863744223804172,0.08823529411764706,0.23529411764705882,0.058386411889596604,0.04246284501061571
A,0.9,2028,942,0.12863744223804172,0.08823529411764706,0.23529411764705882,0.058386411889596604,0.04246284501061571
A,0.9,2029,942,0.12863744223804172,0.08823529411764706,0.23529411764705882,0.058386411889596604,0.04246284501061571
A,0.9,2030,942,0.12863744223804172,0.08823529411764706,0.23529411764705882,0.058386411889596604,0.04246284501061571
A,0.9,2031,942,0.12863744223804172,0.08823529411764706,0.23529411764705882,0.058386411889596604,0.04246284501061571
A,0.9,2032,942,0.12863744223804172,0.08823529411764706,0.23529411764705882,0.058386411889596604,0.04246284501061571
A,0.9,2033,942,0.12863744223804172,0.08823529411764706,0.23529411764705882,0.058386411889596604,0.04246284501061571
A,0.9,2034,942,0.12863744223804172,0.08823529411764706,0.23529411764705882,0.058386411889596604,0.04246284501061571
A,0.9,2035,942,0.12863744223804172,0.08823529411764706,0.23529411764705882,0.058386411889596604,0.04246284501061571
B,0.9,2027,942,0.1203946546771575,0.08823529411764706,0.14705882352941177,0.021231422505307854,0.018046709129511677
B,0.9,2028,942,0.12108155364056451,0.08823529411764706,0.14705882352941177,0.021231422505307854,0.018046709129511677
B,0.9,2029,942,0.12192456600474585,0.08823529411764706,0.14705882352941177,0.021231422505307854,0.018046709129511677
B,0.9,2030,942,0.12251779692768829,0.08823529411764706,0.14705882352941177,0.022292993630573247,0.018046709129511677
B,0.9,2031,942,0.12332958661171477,0.08823529411764706,0.14705882352941177,0.02335456475583864,0.018046709129511677
B,0.9,2032,942,0.12432871237667042,0.08823529411764706,0.14705882352941177,0.024416135881104035,0.018046709129511677
B,0.9,2033,942,0.12507805670038716,0.08823529411764706,0.14705882352941177,0.02653927813163482,0.018046709129511677
B,0.9,2034,942,0.12613962782565255,0.08823529411764706,0.17647058823529413,0.02653927813163482,0.01910828025477707
B,0.9,2035,942,0.1271699762707631,0.08823529411764706,0.17647058823529413,0.027600849256900213,0.01910828025477707
C,0.9,2027,942,0.09507306107156238,0.08823529411764706,0.08823529411764706,0.004246284501061571,0.0010615711252653928
C,0.9,2028,942,0.09507306107156238,0.08823529411764706,0.08823529411764706,0.004246284501061571,0.0010615711252653928
C,0.9,2029,942,0.09507306107156238,0.08823529411764706,0.08823529411764706,0.004246284501061571,0.0010615711252653928
C,0.9,2030,942,0.09507306107156238,0.08823529411764706,0.08823529411764706,0.004246284501061571,0.0010615711252653928
C,0.9,2031,942,0.09507306107156238,0.08823529411764706,0.08823529411764706,0.004246284501061571,0.0010615711252653928
C,0.9,2032,942,0.09507306107156238,0.08823529411764706,0.08823529411764706,0.004246284501061571,0.0010615711252653928
C,0.9,2033,942,0.09507306107156238,0.08823529411764706,0.08823529411764706,0.004246284501061571,0.0010615711252653928
C,0.9,2034,942,0.09507306107156238,0.08823529411764706,0.08823529411764706,0.004246284501061571,0.0010615711252653928
C,0.9,2035,942,0.09507306107156238,0.08823529411764706,0.08823529411764706,0.004246284501061571,0.0010615711252653928
D,0.9,2027,942,0.08523791682278006,0.058823529411764705,0.08823529411764706,0.03078556263269639,0.01592356687898089
D,0.9,2028,942,0.08695516423129761,0.058823529411764705,0.1147058823529405,0.032908704883227176,0.01592356687898089
D,0.9,2029,942,0.08907830648182839,0.058823529411764705,0.11764705882352941,0.03397027600849257,0.016985138004246284
D,0.9,2030,942,0.09104533533158486,0.058823529411764705,0.11764705882352941,0.036093418259023353,0.016985138004246284
D,0.9,2031,942,0.09319970026227052,0.058823529411764705,0.11764705882352941,0.037154989384288746,0.016985138004246284
D,0.9,2032,942,0.09588485075558886,0.058823529411764705,0.11764705882352941,0.03821656050955414,0.018046709129511677
D,0.9,2033,942,0.09878856000999126,0.058823529411764705,0.11764705882352941,0.03927813163481953,0.018046709129511677
D,0.9,2034,942,0.10141126514299988,0.058823529411764705,0.17058823529411632,0.03927813163481953,0.018046709129511677
D,0.9,2035,942,0.1048145372798801,0.058823529411764705,0.17647058823529413,0.03927813163481953,0.018046709129511677
E,0.9,2027,942,0.4208817284875734,0.38235294117647056,0.8235294117647058,0.4129511677282378,0.12420382165605096
E,0.9,2028,942,0.4208817284875734,0.38235294117647056,0.8235294117647058,0.4129511677282378,0.12420382165605096
E,0.9,2029,942,0.4208817284875734,0.38235294117647056,0.8235294117647058,0.4129511677282378,0.12420382165605096
E,0.9,2030,942,0.4208817284875734,0.38235294117647056,0.8235294117647058,0.4129511677282378,0.12420382165605096
E,0.9,2031,942,0.4208817284875734,0.38235294117647056,0.8235294117647058,0.4129511677282378,0.12420382165605096
E,0.9,2032,942,0.4208817284875734,0.38235294117647056,0.8235294117647058,0.4129511677282378,0.12420382165605096
E,0.9,2033,942,0.4208817284875734,0.38235294117647056,0.8235294117647058,0.4129511677282378,0.12420382165605096
E,0.9,2034,942,0.4208817284875734,0.38235294117647056,0.8235294117647058,0.4129511677282378,0.12420382165605096
E,0.9,2035,942,0.4208817284875734,0.38235294117647056,0.8235294117647058,0.4129511677282378,0.12420382165605096
F,0.9,2027,942,0.7232421631072811,1.0,1.0,0.7261146496815286,0.6369426751592356
F,0.9,2028,942,0.7232421631072811,1.0,1.0,0.7261146496815286,0.6369426751592356
F,0.9,2029,942,0.7232421631072811,1.0,1.0,0.7261146496815286,0.6369426751592356
F,0.9,2030,942,0.7232421631072811,1.0,1.0,0.7261146496815286,0.6369426751592356
F,0.9,2031,942,0.7232421631072811,1.0,1.0,0.7261146496815286,0.6369426751592356
F,0.9,2032,942,0.7232421631072811,1.0,1.0,0.7261146496815286,0.6369426751592356
F,0.9,2033,942,0.7232421631072811,1.0,1.0,0.7261146496815286,0.6369426751592356
F,0.9,2034,942,0.7232421631072811,1.0,1.0,0.7261146496815286,0.6369426751592356
F,0.9,2035,942,0.7232421631072811,1.0,1.0,0.7261146496815286,0.6369426751592356
G,0.9,2027,942,0.014018983389534159,0.0,0.0,0.013800424628450107,0.009554140127388535
G,0.9,2028,942,0.014018983389534159,0.0,0.0,0.013800424628450107,0.009554140127388535
G,0.9,2029,942,0.014018983389534159,0.0,0.0,0.013800424628450107,0.009554140127388535
G,0.9,2030,942,0.014018983389534159,0.0,0.0,0.013800424628450107,0.009554140127388535
G,0.9,2031,942,0.014018983389534159,0.0,0.0,0.013800424628450107,0.009554140127388535
G,0.9,2032,942,0.014018983389534159,0.0,0.0,0.013800424628450107,0.009554140127388535
G,0.9,2033,942,0.014018983389534159,0.0,0.0,0.013800424628450107,0.009554140127388535
G,0.9,2034,942,0.014018983389534159,0.0,0.0,0.013800424628450107,0.009554140127388535
G,0.9,2035,942,0.014018983389534159,0.0,0.0,0.013800424628450107,0.009554140127388535
H,0.9,2027,942,0.14381166479330584,0.08823529411764706,0.17647058823529413,0.041401273885350316,0.03503184713375796
H,0.9,2028,942,0.14381166479330584,0.08823529411764706,0.17647058823529413,0.041401273885350316,0.03503184713375796
H,0.9,2029,942,0.14381166479330584,0.08823529411764706,0.17647058823529413,0.041401273885350316,0.03503184713375796
H,0.9,2030,942,0.14381166479330584,0.08823529411764706,0.17647058823529413,0.041401273885350316,0.03503184713375796
H,0.9,2031,942,0.14381166479330584,0.08823529411764706,0.17647058823529413,0.041401273885350316,0.03503184713375796
H,0.9,2032,942,0.14381166479330584,0.08823529411764706,0.17647058823529413,0.041401273885350316,0.03503184713375796
H,0.9,2033,942,0.14381166479330584,0.08823529411764706,0.17647058823529413,0.041401273885350316,0.03503184713375796
H,0.9,2034,942,0.14381166479330584,0.08823529411764706,0.17647058823529413,0.041401273885350316,0.03503184713375796
H,0.9,2035,942,0.14381166479330584,0.08823529411764706,0.17647058823529413,0.041401273885350316,0.03503184713375796
A,0.95,2027,942,0.07858748594979394,0.029411764705882353,0.08823529411764706,0.041401273885350316,0.025477707006369428
A,0.95,2028,942,0.07858748594979394,0.029411764705882353,0.08823529411764706,0.041401273885350316,0.025477707006369428
A,0.95,2029,942,0.07858748594979394,0.029411764705882353,0.08823529411764706,0.041401273885350316,0.025477707006369428
A,0.95,2030,942,0.07858748594979394,0.029411764705882353,0.08823529411764706,0.041401273885350316,0.025477707006369428
A,0.95,2031,942,0.07858748594979394,0.029411764705882353,0.08823529411764706,0.041401273885350316,0.025477707006369428
A,0.95,2032,942,0.07858748594979394,0.029411764705882353,0.08823529411764706,0.041401273885350316,0.025477707006369428
A,0.95,2033,942,0.07858748594979394,0.029411764705882353,0.08823529411764706,0.041401273885350316,0.025477707006369428
A,0.95,2034,942,0.07858748594979394,0.029411764705882353,0.08823529411764706,0.041401273885350316,0.025477707006369428
A,0.95,2035,942,0.07858748594979394,0.029411764705882353,0.08823529411764706,0.041401273885350316,0.025477707006369428
B,0.95,2027,942,0.036405645060572,0.029411764705882353,0.029411764705882353,0.0074309978768577496,0.006369426751592357
B,0.95,2028,942,0.036499313101036594,0.029411764705882353,0.029411764705882353,0.0074309978768577496,0.006369426751592357
B,0.95,2029,942,0.03659298114150118,0.029411764705882353,0.029411764705882353,0.0074309978768577496,0.006369426751592357
B,0.95,2030,942,0.03665542650181092,0.029411764705882353,0.029411764705882353,0.0074309978768577496,0.006369426751592357
B,0.95,2031,942,0.036717871862120645,0.029411764705882353,0.029411764705882353,0.0074309978768577496,0.006369426751592357
B,0.95,2032,942,0.03678031722243037,0.029411764705882353,0.029411764705882353,0.0074309978768577496,0.006369426751592357
B,0.95,2033,942,0.03678031722243037,0.029411764705882353,0.029411764705882353,0.0074309978768577496,0.006369426751592357
