target,train_n,test_n,train_median,test_median,median_shift,median_shift_iqr,train_p90,test_p90,p90_shift,test_over_train_p90_ratio
A,938,34,11.7,12.95,1.25,0.16523463317911438,21.1,22.6848,1.5847999999999978,1.0751090047393363
B,938,34,0.22,0.154,-0.066,-0.14193548387096777,1.7036000000000007,1.7349999999999994,0.03139999999999876,1.0184315567034508
C,938,34,51.575,31.0,-20.575000000000003,-0.6194956718103125,82.53200000000001,68.75800000000001,-13.774000000000001,0.833107158435516
D,938,34,29.4,30.35,0.9500000000000028,0.061688311688311875,53.18700000000002,52.611999999999995,-0.5750000000000242,0.9891890875589895
E,938,34,30.8,31.65,0.8499999999999979,0.11202635914332758,39.3,47.52499999999999,8.224999999999994,1.2092875318066156
F,938,34,30.855,83.35,52.49499999999999,1.2024279906087154,131.50400000000005,163.97299999999998,32.46899999999994,1.2469050371091368
G,938,34,75.661,66.65,-9.010999999999996,-0.26886468745337894,161.09150000000008,94.978,-66.11350000000009,0.5895903880713752
H,938,34,0.09,0.055,-0.034999999999999996,-0.5957446808510638,0.20250000000000035,0.317,0.11449999999999966,1.5654320987654295
