target,protocol,method,model,status,n_train,n_test,train_year_min,train_year_max,test_year_min,test_year_max,r2,r2_log1p,rmse,mae,mape,sample_weight_used,high_threshold
A,literature_2019_2020,spatial_baseline_residual,XGBoost,"failed: [21:53:48] /__w/xgboost/xgboost/src/data/data.cc:568: Check failed: valid: Label contains NaN, infinity or a value too large.
Stack trace:
  [bt] (0) /home/kaixin/code/soil/.venv/lib/python3.12/site-packages/xgboost/lib/libxgboost.so(+0x2c1a8c) [0x7fbc932c1a8c]
  [bt] (1) /home/kaixin/code/soil/.venv/lib/python3.12/site-packages/xgboost/lib/libxgboost.so(+0x5b06b9) [0x7fbc935b06b9]
  [bt] (2) /home/kaixin/code/soil/.venv/lib/python3.12/site-packages/xgboost/lib/libxgboost.so(+0x5b1655) [0x7fbc935b1655]
  [bt] (3) /home/kaixin/code/soil/.venv/lib/python3.12/site-packages/xgboost/lib/libxgboost.so(XGDMatrixSetInfoFromInterface+0x10b) [0x7fbc931c9cab]
  [bt] (4) /home/kaixin/.local/share/uv/python/cpython-3.12.10-linux-x86_64-gnu/bin/../lib/libpython3.12.so.1.0(+0x650052) [0x7fbdec641052]
  [bt] (5) /home/kaixin/.local/share/uv/python/cpython-3.12.10-linux-x86_64-gnu/bin/../lib/libpython3.12.so.1.0(+0x64ed61) [0x7fbdec63fd61]
  [bt] (6) /home/kaixin/.local/share/uv/python/cpython-3.12.10-linux-x86_64-gnu/bin/../lib/libpython3.12.so.1.0(+0x64e96e) [0x7fbdec63f96e]
  [bt] (7) /home/kaixin/.local/share/uv/python/cpython-3.12.10-linux-x86_64-gnu/bin/../lib/libpython3.12.so.1.0(+0x2bdeac) [0x7fbdec2aeeac]
  [bt] (8) /home/kaixin/.local/share/uv/python/cpython-3.12.10-linux-x86_64-gnu/bin/../lib/libpython3.12.so.1.0(+0x2bda3c) [0x7fbdec2aea3c]

",,,,,,,,,,,,,
A,literature_2019_2020,spatial_baseline_residual_zone,XGBoost,"failed: [21:53:48] /__w/xgboost/xgboost/src/data/data.cc:568: Check failed: valid: Label contains NaN, infinity or a value too large.
Stack trace:
  [bt] (0) /home/kaixin/code/soil/.venv/lib/python3.12/site-packages/xgboost/lib/libxgboost.so(+0x2c1a8c) [0x7fbc932c1a8c]
  [bt] (1) /home/kaixin/code/soil/.venv/lib/python3.12/site-packages/xgboost/lib/libxgboost.so(+0x5b06b9) [0x7fbc935b06b9]
  [bt] (2) /home/kaixin/code/soil/.venv/lib/python3.12/site-packages/xgboost/lib/libxgboost.so(+0x5b1655) [0x7fbc935b1655]
  [bt] (3) /home/kaixin/code/soil/.venv/lib/python3.12/site-packages/xgboost/lib/libxgboost.so(XGDMatrixSetInfoFromInterface+0x10b) [0x7fbc931c9cab]
  [bt] (4) /home/kaixin/.local/share/uv/python/cpython-3.12.10-linux-x86_64-gnu/bin/../lib/libpython3.12.so.1.0(+0x650052) [0x7fbdec641052]
  [bt] (5) /home/kaixin/.local/share/uv/python/cpython-3.12.10-linux-x86_64-gnu/bin/../lib/libpython3.12.so.1.0(+0x64ed61) [0x7fbdec63fd61]
  [bt] (6) /home/kaixin/.local/share/uv/python/cpython-3.12.10-linux-x86_64-gnu/bin/../lib/libpython3.12.so.1.0(+0x64e96e) [0x7fbdec63f96e]
  [bt] (7) /home/kaixin/.local/share/uv/python/cpython-3.12.10-linux-x86_64-gnu/bin/../lib/libpython3.12.so.1.0(+0x2bdeac) [0x7fbdec2aeeac]
  [bt] (8) /home/kaixin/.local/share/uv/python/cpython-3.12.10-linux-x86_64-gnu/bin/../lib/libpython3.12.so.1.0(+0x2bda3c) [0x7fbdec2aea3c]

",,,,,,,,,,,,,
A,literature_2019_2020,temporal_weighted,XGBoost,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,0.056508949289559074,-0.020353056971392114,13.578072753103706,6.97139628440857,41.19352459321782,True,
A,literature_2019_2020,direct_global,LightGBM,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,-0.12794459433803818,-0.19913239978749298,14.846125326434004,7.4616679408754525,48.07617715314763,,
A,literature_2019_2020,spatial_zone_features,LightGBM,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,-0.1864666695335484,-0.2276372749433273,15.226392126220663,7.530047859818596,51.41874907647947,,
A,literature_2019_2020,spatial_baseline_residual,LightGBM,failed: Input y contains NaN.,,,,,,,,,,,,,
A,literature_2019_2020,spatial_baseline_residual_zone,LightGBM,failed: Input y contains NaN.,,,,,,,,,,,,,
A,literature_2019_2020,temporal_weighted,LightGBM,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,-0.2256196070035863,-0.2748836153039733,15.475585492920263,7.836842077538548,54.21728507057193,True,
A,literature_2019_2020,two_stage_high_pollution,LightGBM,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,-0.060563596263362385,-0.08877018480089416,14.39585941260644,7.480409217036904,43.69971755518238,,18.218
A,literature_2019_2020,direct_global,CatBoost,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,0.10155687980429129,0.09870491087576638,13.249958941991332,6.44163401591885,38.14957952239842,,
A,literature_2019_2020,spatial_zone_features,CatBoost,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,0.08080072377249126,0.09194135370843326,13.402137696403967,6.4933085736438185,38.19339037688929,,
A,literature_2019_2020,spatial_baseline_residual,CatBoost,failed: catboost/libs/metrics/metric.cpp:7032: metric/loss-function RMSE does not allow nan values in target data,,,,,,,,,,,,,
A,literature_2019_2020,spatial_baseline_residual_zone,CatBoost,failed: catboost/libs/metrics/metric.cpp:7032: metric/loss-function RMSE does not allow nan values in target data,,,,,,,,,,,,,
A,literature_2019_2020,temporal_weighted,CatBoost,ok,815.0,100.0,2000.0,2018.0,2019.0,2020.0,0.1027987645773677,0.11372895665640514,13.240798310630677,6.5045110217856,37.16112951808456,True,
