target,spatial_block,model,status,n_train,n_test,n_features,lon_min,lon_max,lat_min,lat_max,r2,r2_log1p,rmse,mae,mape
G,2,RF,ok,835,137,112,118.037109,134.114991,39.05035,51.41831,-0.1555013163187391,-0.30449387347630297,55.0660298758318,24.5843454039132,22.908025455117947
G,2,ElasticNet,ok,835,137,112,118.037109,134.114991,39.05035,51.41831,-1.5391770998297556,-20.17692232396575,81.62910599175662,65.13375767041067,78.57650549194048
H,2,ExtraTrees,ok,835,137,112,118.037109,134.114991,39.05035,51.41831,-0.009634532841822585,-0.008222636488177892,0.2297068893717992,0.08259939144999148,91.65411630538115
H,2,HistGBR,ok,835,137,112,118.037109,134.114991,39.05035,51.41831,-0.08573243819129783,-0.15740674286407108,0.23820634707322616,0.08696555483210874,73.32806903441758
H,2,LightGBM,ok,835,137,112,118.037109,134.114991,39.05035,51.41831,-0.0823567567671748,-0.1445845441899849,0.23783575174722918,0.0841884226333895,77.93266552798639
H,2,XGBoost,ok,835,137,112,118.037109,134.114991,39.05035,51.41831,-0.04689218201206691,-0.06804640054964328,0.23390682869319407,0.077065498942946,69.5905799836643
H,2,RF,ok,835,137,112,118.037109,134.114991,39.05035,51.41831,-0.026587237661314544,-0.03980712696361577,0.23162735770136067,0.07983266001415551,81.10763022329988
H,2,ElasticNet,ok,835,137,112,118.037109,134.114991,39.05035,51.41831,-0.26662923852475706,-0.5677815943060887,0.25728630919123024,0.11937397945520092,97.68435260724279
A,3,ExtraTrees,ok,757,215,112,107.00864,118.899536,32.100428,42.592274,-0.052219443680844746,-0.05384487186643505,6.6725221700917805,3.9716095567779703,39.69414808837028
A,3,HistGBR,ok,757,215,112,107.00864,118.899536,32.100428,42.592274,-0.06945778350801146,-0.061325171160222514,6.72695754651281,4.103647170727751,39.91095716585251
A,3,LightGBM,ok,757,215,112,107.00864,118.899536,32.100428,42.592274,-0.04982637183662186,-0.024320407843509306,6.664930163352677,4.061540247013039,38.52686491807439
A,3,XGBoost,ok,757,215,112,107.00864,118.899536,32.100428,42.592274,-0.04078329288013194,-0.020625759455838777,6.636162623206024,3.985086265173624,39.09858347137615
A,3,RF,ok,757,215,112,107.00864,118.899536,32.100428,42.592274,-0.03876219520627111,-0.04048011987934208,6.629716108058723,4.008584568440379,40.29775589216172
A,3,ElasticNet,ok,757,215,112,107.00864,118.899536,32.100428,42.592274,-0.2838990589936148,-0.40524707579305574,7.370590861335237,4.7252936129418694,40.02234358414668
B,3,ExtraTrees,ok,757,215,112,107.00864,118.899536,32.100428,42.592274,0.021471582767003672,-0.006559918716040114,2.8129606235095324,0.6682049957196368,218.14586311776446
B,3,HistGBR,ok,757,215,112,107.00864,118.899536,32.100428,42.592274,-0.010015800080349635,-0.04434263985434117,2.857860431600075,0.6261468728346627,145.40755089521977
B,3,LightGBM,ok,757,215,112,107.00864,118.899536,32.100428,42.592274,-0.001133955035917289,-0.01809538719551851,2.8452670031384693,0.630141947523312,147.63539325255599
B,3,XGBoost,ok,757,215,112,107.00864,118.899536,32.100428,42.592274,0.0032270822312400194,-0.005911056048409691,2.8390631091221414,0.6397192437015022,168.70107451595663
B,3,RF,ok,757,215,112,107.00864,118.899536,32.100428,42.592274,0.013594024621031875,-0.11052368623621911,2.8242606743306715,0.7055398115854389,241.26848424919731
B,3,ElasticNet,ok,757,215,112,107.00864,118.899536,32.100428,42.592274,-0.045379008146979816,-0.38654444019468204,2.9074604724263002,0.6560894805907257,95.37856734124703
C,3,ExtraTrees,ok,757,215,112,107.00864,118.899536,32.100428,42.592274,0.0017200211224674966,0.027021193805036314,39.756276244940196,22.071054216612573,54.04130640375706
C,3,HistGBR,ok,757,215,112,107.00864,118.899536,32.100428,42.592274,-0.02051325115077063,0.029118244682878158,40.19655585439825,22.087471645845874,52.326860929607335
C,3,LightGBM,ok,757,215,112,107.00864,118.899536,32.100428,42.592274,-0.006582957233324471,0.045203700749867015,39.92126601396465,22.064088657126515,51.745510912084015
C,3,XGBoost,ok,757,215,112,107.00864,118.899536,32.100428,42.592274,0.008268929227979283,0.04150015336075663,39.625657272881135,21.735099153712074,54.222889748292715
C,3,RF,ok,757,215,112,107.00864,118.899536,32.100428,42.592274,0.003321036772901076,0.025205644700019958,39.72438340799643,22.130086267482582,54.800985456864396
C,3,ElasticNet,ok,757,215,112,107.00864,118.899536,32.100428,42.592274,0.00436304828959333,-0.07436255671055658,39.70361238182527,22.45057797699843,61.22273649299469
D,3,ExtraTrees,ok,757,215,112,107.00864,118.899536,32.100428,42.592274,-0.04851656861692355,-0.08193696548604779,31.119275902294444,13.437765325059635,35.580840505675674
