target,feature_set,top_k,model,n_train,n_test,n_input_features,n_selected_features,r2,r2_log1p,rmse,mae,mape,protocol,selection_val_r2,method
A,raster_activity,16,ExtraTrees,938,34,43,18,0.0929271934222109,0.14009197291661424,18.29146815607339,7.261471626496866,49.11124131738321,temporal_2022_2026,0.18099994410349896,target_adaptive_feature_selection
B,osm_activity,64,XGBoost,938,34,82,64,0.35511678269357416,0.2487638841138301,1.6515477572951505,0.8017985741496085,334.9242228794172,temporal_2022_2026,0.12347982199334451,target_adaptive_feature_selection
C,raster_landcover,48,HistGBR,938,34,58,48,-0.05238540795914237,-0.1315486744350325,34.89944601484908,22.6362834414023,56.81988208785684,temporal_2022_2026,0.15561558354048532,target_adaptive_feature_selection
D,raster_landcover,24,ExtraTrees,938,34,58,26,0.21520926108774907,0.42331529361606224,44.646669953372566,15.879280871896833,27.012261518657994,temporal_2022_2026,0.30648323083407447,target_adaptive_feature_selection
E,soil_climate,36,ExtraTrees,938,34,42,36,0.4196042115730969,0.23366638427007713,18.539025584173448,9.546726390893356,25.350991749920805,temporal_2022_2026,0.11574600879396191,target_adaptive_feature_selection
F,osm_activity,all,XGBoost,938,34,82,82,-0.13037439397459272,-0.8326130200199466,85.52609269150791,53.31787279196347,39.61772640825316,temporal_2022_2026,0.10785182190892595,target_adaptive_feature_selection
G,all_external,64,ExtraTrees,938,34,112,66,-0.46627593094644926,-0.3971370363107678,33.225639941891075,24.833372450129737,46.07439365697098,temporal_2022_2026,0.04897929993683381,target_adaptive_feature_selection
H,osm_pollution,24,HistGBR,938,34,62,24,-0.1568909082633454,-0.2458977425686164,0.2536251258817886,0.14049647336816676,267.41940134745164,temporal_2022_2026,0.5538151834854843,target_adaptive_feature_selection
