protocol,target,method,model,status,n_train,n_test,candidate,base_source,base_method,base_model,calibration,validation_rmse,r2,r2_log1p,rmse,mae,mape
temporal_2022_2026,A,temporal_validation_calibration,causal_history:CausalKNN12IDW:BiasCorrected,ok,100,34,causal_history::causal_history_direct::CausalKNN12IDW,causal_history,causal_history_direct,CausalKNN12IDW,BiasCorrected,22.525521610911706,0.08140043731754931,0.1569948338566063,18.40732197136339,7.129835166133933,46.07925010357158
temporal_2022_2026,A,temporal_validation_calibration,causal_history:CausalKNN12IDW:RatioScaled,ok,100,34,causal_history::causal_history_direct::CausalKNN12IDW,causal_history,causal_history_direct,CausalKNN12IDW,RatioScaled,18.47505500003719,-0.2133811270297854,-1.1931807645495023,21.155637143229573,10.36966022643032,52.3385057627356
temporal_2022_2026,A,temporal_validation_calibration,causal_history:CausalKNN12IDW:Affine,ok,100,34,causal_history::causal_history_direct::CausalKNN12IDW,causal_history,causal_history_direct,CausalKNN12IDW,Affine,13.94865659370988,0.007293502221475179,-0.15802716540932504,19.13541669721061,8.519177270758844,72.94116056737529
temporal_2022_2026,A,temporal_validation_calibration,causal_history:CausalKNN12IDW:MeanStdMapped,ok,100,34,causal_history::causal_history_direct::CausalKNN12IDW,causal_history,causal_history_direct,CausalKNN12IDW,MeanStdMapped,19.10942362062473,0.07770701375990685,0.17412631420747815,18.444290111968908,6.868016134427559,47.727800671325916
temporal_2022_2026,A,temporal_validation_calibration,causal_history:CausalKNN12IDW:LogBiasCorrected,ok,100,34,causal_history::causal_history_direct::CausalKNN12IDW,causal_history,causal_history_direct,CausalKNN12IDW,LogBiasCorrected,22.722195532467165,0.08451931836071958,0.1574631748983193,18.37604661297204,7.128627653388905,46.43643611852375
temporal_2022_2026,A,temporal_validation_calibration,causal_history:CausalKNN12IDW:LogAffine,ok,100,34,causal_history::causal_history_direct::CausalKNN12IDW,causal_history,causal_history_direct,CausalKNN12IDW,LogAffine,13.963233543565243,0.015749115018311333,0.0647838937130385,19.05374719271986,7.327957139797299,53.07845618193965
temporal_2022_2026,A,temporal_validation_calibration,causal_history:CausalKNN12IDW:QuantileMapped,ok,100,34,causal_history::causal_history_direct::CausalKNN12IDW,causal_history,causal_history_direct,CausalKNN12IDW,QuantileMapped,17.622630904039273,0.06687486325328129,0.12694149241979658,18.552286226968764,7.162197261883427,45.71768912823764
temporal_2022_2026,A,temporal_validation_calibration,causal_history:CausalKNN12IDW:RawClipped,ok,100,34,causal_history::causal_history_direct::CausalKNN12IDW,causal_history,causal_history_direct,CausalKNN12IDW,RawClipped,22.52560435695166,0.08030717339048798,0.155025016790851,18.418272377753823,7.137018193293664,45.95107274930744
temporal_2022_2026,A,temporal_validation_calibration,causal_history:CausalKNN12IDW:BiasCorrectedClipped,ok,100,34,causal_history::causal_history_direct::CausalKNN12IDW,causal_history,causal_history_direct,CausalKNN12IDW,BiasCorrectedClipped,22.525521610911706,0.08140043731754931,0.1569948338566063,18.40732197136339,7.129835166133933,46.07925010357158
temporal_2022_2026,A,temporal_validation_calibration,causal_history:CausalKNN12IDW:RatioScaledClipped,ok,100,34,causal_history::causal_history_direct::CausalKNN12IDW,causal_history,causal_history_direct,CausalKNN12IDW,RatioScaledClipped,18.47505500003719,-0.21173504188279924,-1.11956562293949,21.141282297105935,10.32506853105834,51.87832314795771
temporal_2022_2026,A,temporal_validation_calibration,causal_history:CausalKNN12IDW:AffineClipped,ok,100,34,causal_history::causal_history_direct::CausalKNN12IDW,causal_history,causal_history_direct,CausalKNN12IDW,AffineClipped,13.94865659370988,0.007293502221475179,-0.15802716540932504,19.13541669721061,8.519177270758844,72.94116056737529
temporal_2022_2026,A,temporal_validation_calibration,causal_history:CausalKNN12IDW:MeanStdMappedClipped,ok,100,34,causal_history::causal_history_direct::CausalKNN12IDW,causal_history,causal_history_direct,CausalKNN12IDW,MeanStdMappedClipped,19.10942362062473,0.07770701375990685,0.17412631420747815,18.444290111968908,6.868016134427559,47.727800671325916
temporal_2022_2026,A,temporal_validation_calibration,causal_history:CausalKNN12IDW:LogBiasCorrectedClipped,ok,100,34,causal_history::causal_history_direct::CausalKNN12IDW,causal_history,causal_history_direct,CausalKNN12IDW,LogBiasCorrectedClipped,22.722195532467165,0.08451931836071958,0.1574631748983193,18.37604661297204,7.128627653388905,46.43643611852375
temporal_2022_2026,A,temporal_validation_calibration,causal_history:CausalKNN12IDW:LogAffineClipped,ok,100,34,causal_history::causal_history_direct::CausalKNN12IDW,causal_history,causal_history_direct,CausalKNN12IDW,LogAffineClipped,13.963233543565243,0.015749115018311333,0.0647838937130385,19.05374719271986,7.327957139797299,53.07845618193965
temporal_2022_2026,A,temporal_validation_calibration,causal_history:CausalKNN12IDW:QuantileMappedClipped,ok,100,34,causal_history::causal_history_direct::CausalKNN12IDW,causal_history,causal_history_direct,CausalKNN12IDW,QuantileMappedClipped,17.622630904039273,0.06687486325328129,0.12694149241979658,18.552286226968764,7.162197261883427,45.71768912823764
temporal_2022_2026,A,temporal_validation_calibration,causal_history:CausalKNN12Median:Raw,ok,100,34,causal_history::causal_history_direct::CausalKNN12Median,causal_history,causal_history_direct,CausalKNN12Median,Raw,13.539265340482842,0.07351633075081454,-0.07927488385958448,18.486145884267273,7.672044117647058,50.81704149082977
temporal_2022_2026,A,temporal_validation_calibration,causal_history:CausalKNN12Median:BiasCorrected,ok,100,34,causal_history::causal_history_direct::CausalKNN12Median,causal_history,causal_history_direct,CausalKNN12Median,BiasCorrected,12.980383697622347,0.13317176101234007,0.04697371939008521,17.881091156964565,7.729664705882353,63.646533804900486
temporal_2022_2026,A,temporal_validation_calibration,causal_history:CausalKNN12Median:RatioScaled,ok,100,34,causal_history::causal_history_direct::CausalKNN12Median,causal_history,causal_history_direct,CausalKNN12Median,RatioScaled,12.994541402699287,0.15129216775291254,-0.039801983180276945,17.693208555214945,7.95940997558056,63.60976691321514
temporal_2022_2026,A,temporal_validation_calibration,causal_history:CausalKNN12Median:Affine,ok,100,34,causal_history::causal_history_direct::CausalKNN12Median,causal_history,causal_history_direct,CausalKNN12Median,Affine,12.970670828580923,0.1420716978643478,0.031981427271083884,17.789059558713934,7.840594147090273,64.09171180358206
temporal_2022_2026,A,temporal_validation_calibration,causal_history:CausalKNN12Median:MeanStdMapped,ok,100,34,causal_history::causal_history_direct::CausalKNN12Median,causal_history,causal_history_direct,CausalKNN12Median,MeanStdMapped,15.6553390915655,0.19994154086038296,-1.7807375481886458,17.178623141415933,10.280492411819354,75.75455013297821
temporal_2022_2026,A,temporal_validation_calibration,causal_history:CausalKNN12Median:LogBiasCorrected,ok,100,34,causal_history::causal_history_direct::CausalKNN12Median,causal_history,causal_history_direct,CausalKNN12Median,LogBiasCorrected,13.099681774141146,0.1241389045339808,-0.012150624786618769,17.97401540932324,7.555701709057261,56.177912144628316
temporal_2022_2026,A,temporal_validation_calibration,causal_history:CausalKNN12Median:LogAffine,ok,100,34,causal_history::causal_history_direct::CausalKNN12Median,causal_history,causal_history_direct,CausalKNN12Median,LogAffine,13.320962274064197,0.0792795981848392,0.08250287737078721,18.428558897267763,7.396655109192127,54.94946006256841
temporal_2022_2026,A,temporal_validation_calibration,causal_history:CausalKNN12Median:QuantileMapped,ok,100,34,causal_history::causal_history_direct::CausalKNN12Median,causal_history,causal_history_direct,CausalKNN12Median,QuantileMapped,16.18329026279885,0.08192755292216869,-0.08168427548758239,18.402039920636376,7.898400497973358,57.770730597827715
temporal_2022_2026,A,temporal_validation_calibration,causal_history:CausalKNN12Median:RawClipped,ok,100,34,causal_history::causal_history_direct::CausalKNN12Median,causal_history,causal_history_direct,CausalKNN12Median,RawClipped,13.539265340482842,0.07539935489497052,0.00891667064317414,18.467350321302348,7.62175,50.29801034896126
temporal_2022_2026,A,temporal_validation_calibration,causal_history:CausalKNN12Median:BiasCorrectedClipped,ok,100,34,causal_history::causal_history_direct::CausalKNN12Median,causal_history,causal_history_direct,CausalKNN12Median,BiasCorrectedClipped,12.980383697622347,0.13317176101234007,0.04697371939008521,17.881091156964565,7.729664705882353,63.646533804900486
temporal_2022_2026,A,temporal_validation_calibration,causal_history:CausalKNN12Median:RatioScaledClipped,ok,100,34,causal_history::causal_history_direct::CausalKNN12Median,causal_history,causal_history_direct,CausalKNN12Median,RatioScaledClipped,12.994541402699287,0.15256422689467886,0.01324905499230622,17.67994412747772,7.924130143729875,63.245681961195686
temporal_2022_2026,A,temporal_validation_calibration,causal_history:CausalKNN12Median:AffineClipped,ok,100,34,causal_history::causal_history_direct::CausalKNN12Median,causal_history,causal_history_direct,CausalKNN12Median,AffineClipped,12.970670828580923,0.1420716978643478,0.031981427271083884,17.789059558713934,7.840594147090273,64.09171180358206
temporal_2022_2026,A,temporal_validation_calibration,causal_history:CausalKNN12Median:MeanStdMappedClipped,ok,100,34,causal_history::causal_history_direct::CausalKNN12Median,causal_history,causal_history_direct,CausalKNN12Median,MeanStdMappedClipped,15.6553390915655,0.21224908174370538,-0.787152167598701,17.04597906460812,10.021586066721179,73.33444068721441
temporal_2022_2026,A,temporal_validation_calibration,causal_history:CausalKNN12Median:LogBiasCorrectedClipped,ok,100,34,causal_history::causal_history_direct::CausalKNN12Median,causal_history,causal_history_direct,CausalKNN12Median,LogBiasCorrectedClipped,13.099681774141146,0.12553218982565317,0.047263646582033636,17.959713541887858,7.5173598774678565,55.782227608101955
