protocol,target,feature_set,method,model,status,n_train,n_validation,n_test,n_features,validation_r2,validation_rmse,validation_mae,r2,r2_log1p,rmse,mae,mape
literature_2019_2020,A,external_covariates,distributional_robust,HistGBR_absolute_yj,ok,815,267,100,112,0.008454084436129716,20.526703648575978,6.439464922481751,0.05640572239430541,0.10153786735523096,13.578815517943484,6.549836216834523,31.794508578227283
literature_2019_2020,A,external_covariates,distributional_robust,HistGBR_squared_yj,ok,815,267,100,112,0.038453166920233484,20.213802507825044,6.474439257048687,0.06999375043205869,-0.04486716239090671,13.480691566091668,6.713086775447996,41.07050315644477
literature_2019_2020,A,external_covariates,distributional_robust,ExtraTrees_yj,ok,815,267,100,112,0.03358810781640431,20.264875041079794,6.26511747299587,0.0797214566940262,0.07866585886668143,13.410003369841036,6.39554495960845,37.52206777605293
literature_2019_2020,A,external_covariates,distributional_robust,ExtraTrees_qnormal,ok,815,267,100,112,0.025139327173883008,20.353264322639536,6.198001452563453,0.08415487344182127,0.15533827155172175,13.37766321086949,6.307535926748223,31.44009470469451
literature_2019_2020,A,external_covariates,distributional_robust,RF_yj,ok,815,267,100,112,0.0358532556388077,20.241111950420652,6.339300118213061,0.09701112258363309,0.057295463732161545,13.283436354801227,6.462519442949968,36.35872749340906
literature_2019_2020,A,external_covariates,distributional_robust,Huber_yj,ok,815,267,100,112,-0.019792761331462128,20.817029603634502,8.336741016445231,0.060856327193750115,0.03180093827813546,13.546754401764195,6.979907410918542,45.14081007223625
literature_2019_2020,A,external_covariates,distributional_robust,Ridge_qnormal,ok,815,267,100,112,-1.7794299531999282,34.36692412586916,10.284414031060757,0.01684351656612748,0.0395442248132758,13.860553150495647,6.800935169322555,41.7810347489454
literature_2019_2020,A,external_covariates,distributional_robust,Poisson_raw,ok,815,267,100,112,-0.5823267984730407,25.930499880279818,14.022389601406534,-0.4155425678728304,-0.5003428928122728,16.63147264219813,9.48267385010169,77.13539286047184
literature_2019_2020,B,external_covariates,distributional_robust,HistGBR_absolute_yj,ok,815,267,100,112,-0.020091331521151057,6.0052663477540245,1.3340218560602226,-0.005220564820869633,0.06405535021277264,2.1794293771137054,0.8020130740940995,89.8302978316712
literature_2019_2020,B,external_covariates,distributional_robust,HistGBR_squared_yj,ok,815,267,100,112,-0.023961126039904856,6.016646283998215,1.3431116844803905,0.008967047998430067,0.08078578323440899,2.163994565136436,0.822657573928447,125.85635745162023
literature_2019_2020,B,external_covariates,distributional_robust,ExtraTrees_yj,ok,815,267,100,112,-0.026793257104613,6.0249611331522805,1.348297109903463,-0.018586231413526333,0.0739717654036478,2.1938706537221986,0.8082235825496074,104.0247092637374
literature_2019_2020,B,external_covariates,distributional_robust,ExtraTrees_qnormal,ok,815,267,100,112,-0.017537294643474866,5.997743842838939,1.3446046306174706,0.011891566247649421,0.06259095585223129,2.1607992539163274,0.8232308489212428,103.50742556821938
literature_2019_2020,B,external_covariates,distributional_robust,RF_yj,ok,815,267,100,112,-0.02406598072415811,6.016954331530797,1.3470018968288666,-0.034421422574816285,0.03754645054828443,2.210858110953975,0.804511682835447,99.11873461693773
literature_2019_2020,B,external_covariates,distributional_robust,Huber_yj,failed: Input contains NaN.,815,267,100,112,,,,,,,,
literature_2019_2020,B,external_covariates,distributional_robust,Ridge_qnormal,ok,815,267,100,112,-1.19359922996484,8.806257658014049,2.4348678043193512,-2.6693388439271746,-0.7715790263690838,4.163954999350182,1.3362836245975183,350.7381198171786
literature_2019_2020,B,external_covariates,distributional_robust,Poisson_raw,ok,815,267,100,112,-6.887811698106123,16.699021074599077,7.0610889444847,-92.59615147706931,-2.6794732649532835,21.030089161458122,4.053622973971695,1487.6924459621496
