cutoff_year,feature_set,target,model,status,n_train,n_test,test_year_min,test_year_max,n_features,r2,r2_log1p,rmse,mae,mape
2019,external,A,HistGBR,ok,815,157,2019,2026,128,0.11523271022300807,0.06167468901140816,13.951674477417589,7.08132274846273,46.08514192317592
2019,external,B,ExtraTrees,ok,815,157,2019,2026,128,0.31300327481329127,0.13941497871601405,2.3038980120007357,1.0948480433072063,274.33843624711517
2019,external,C,XGBoost,ok,815,157,2019,2026,128,0.04845036154958737,-0.1008082491223663,46.897798625139096,26.183765196101678,56.82084385189407
2019,external,D,HistGBR,ok,815,157,2019,2026,128,0.09074192529869407,-0.14665443230616138,50.315804565401244,23.41247852944537,63.66795436463444
2019,external,E,CatBoost,ok,815,157,2019,2026,128,0.3803686879267112,0.16167976441950993,11.760040123412018,7.039246197471741,25.07670951602064
2019,external,F,HistGBR,ok,815,157,2019,2026,128,0.004862785603945929,0.052138830585013896,588.0534050392984,104.97464018968938,69.3907824636959
2019,external,G,CatBoost,ok,815,157,2019,2026,128,-0.3518228128341605,-0.2610153631995489,120.3160658595688,47.03263503255473,50.22949757353798
2019,external,H,LightGBM,ok,815,157,2019,2026,128,0.19271811232924574,0.2926863548508246,0.5013520920969807,0.14279403257621628,112.39758566412455
2020,external,A,HistGBR,ok,890,82,2020,2026,128,0.21376009200095158,0.2265514234358772,12.332175659520214,5.872067705790595,39.16212026950133
2020,external,B,ExtraTrees,ok,890,82,2020,2026,128,0.410406905295863,0.1128794917490743,2.328469003297587,1.0960890010476665,350.7947792779589
2020,external,C,CatBoost,ok,890,82,2020,2026,128,-0.02017753225333796,-0.2794373244288675,33.4452273562557,25.40980057269218,70.59724912575246
2020,external,D,ExtraTrees,ok,890,82,2020,2026,128,0.08416366514554707,-0.023521045350772596,35.5906654204459,16.82270527152681,46.12463100819562
2020,external,E,CatBoost,ok,890,82,2020,2026,128,0.5180556075147131,0.20874114401296584,11.840526777360264,6.365110885650715,23.155879777160695
