target,publication_source,publication_method,publication_model,publication_r2,publication_rmse,publication_mae,publication_mape,best_eligible_source,best_eligible_method,best_eligible_model,best_eligible_r2,best_eligible_rmse,best_excluded_source,best_excluded_method,best_excluded_model,best_excluded_r2,best_excluded_rmse,best_excluded_class,n_candidates,n_eligible,n_selected,n_excluded,publication_equals_best_eligible,r2_gap_to_excluded_upper_bound,r2_gap_to_best_eligible,status
A,spatial_quantile_baseline,grid_spatial_quantile,Grid6_Q90,0.6799856172470193,10.864562448215592,7.457558823529411,80.36019846934013,spatiotemporal_innovation,temporal_weighted,LightGBM,0.4447405502320772,14.311180881210284,nnls_stack_exploration,strict_validation_linear_stack,Ridge_no_calibration_top40,0.995717873368386,1.2567741657170977,same_test_set_fit_upper_bound,334,17,1,317,False,0.3157322561213667,-0.23524506701494213,review_publication_not_best_eligible
B,quantile_risk_gate,risk_gated_quantile,GateQ90_P90_pow1,0.4526167423844467,1.5215854757796996,0.6897384065399956,209.55408471946373,quantile_risk_gate,risk_gated_quantile,GateQ90_P90_pow1,0.4526167423844467,1.5215854757796996,nnls_stack_exploration,strict_validation_linear_stack,Ridge_legacy_top80,0.9999999999995428,1.390723268336262e-06,same_test_set_fit_upper_bound,334,17,1,317,True,0.5473832576150961,0.0,ok_publication_is_best_eligible
C,spatial_quantile_baseline,knn_spatial_quantile,KNN12_Q20,0.1408646475019326,31.532755210005323,18.463811764705884,42.56119551064521,distribution_guided_spatial_quantile,knn_spatial_quantile,KNN12_Q25,0.1310761592256842,31.711879377897315,nnls_stack_exploration,strict_validation_linear_stack,Linear_legacy_top20,0.7088305708007946,18.35709738371062,same_test_set_fit_upper_bound,334,17,1,317,False,0.567965923298862,-0.009788488276248397,review_publication_not_best_eligible
D,spatial_quantile_baseline,grid_spatial_quantile,Grid10_Q75,0.3694922427768553,40.01818192378677,17.28958823529412,36.64413947077093,causal_history_memory,causal_history_ml,HistGBR,0.3437965377677854,40.82548905035798,nnls_stack_exploration,strict_validation_linear_stack,Ridge_no_calibration_top80,0.9972600106251536,2.6380715873977545,same_test_set_fit_upper_bound,334,17,1,317,False,0.6277677678482982,-0.02569570500906987,review_publication_not_best_eligible
E,external_geo_terrain_covariates,external_geo_terrain,HistGBR_raw,0.6366777251281004,14.667996240763236,8.751841565850977,26.94560675418709,local_analog_memory,local_analog_memory_ml,NGBoost,0.536801423697371,16.561832404176638,nnls_stack_exploration,strict_validation_linear_stack,Linear_legacy_top20,0.8959186717401739,7.850750771938559,same_test_set_fit_upper_bound,334,17,1,317,False,0.25924094661207353,-0.09987630143072934,review_publication_not_best_eligible
F,causal_history_memory,causal_history_ml,LightGBM,0.3413546827757919,65.2849807235738,39.7115529103262,30.93927752300464,causal_history_memory,causal_history_ml,LightGBM,0.3413546827757919,65.2849807235738,nnls_stack_exploration,strict_validation_linear_stack,Ridge_legacy_top80,0.9795044994781532,11.516399986472075,same_test_set_fit_upper_bound,334,17,1,317,True,0.6381498167023614,0.0,ok_publication_is_best_eligible
G,spatial_quantile_baseline,knn_spatial_quantile,KNN20_Q45,0.4940669991061639,19.516952529172062,14.34808676470588,31.036858435777127,distribution_guided_spatial_quantile,grid_spatial_quantile,Grid5_Q50,0.2513522508853234,23.74128727864306,nnls_stack_exploration,strict_validation_linear_stack,Ridge_no_calibration_top80,0.9756939546117792,4.277821450709166,same_test_set_fit_upper_bound,334,17,1,317,False,0.4816269555056153,-0.2427147482208405,review_publication_not_best_eligible
H,spatial_quantile_baseline,knn_spatial_quantile,KNN80_Q85,0.0792810470593082,0.2262609535860022,0.1185235294117647,238.2160073486677,multitask_latent,multitask_latent_pca,Latent_RF,0.0758643374095906,0.2266803823982839,nnls_stack_exploration,strict_validation_linear_stack,Linear_no_calibration_top20,0.6468884567683941,0.1401206131319576,same_test_set_fit_upper_bound,334,17,1,317,False,0.567607409709086,-0.003416709649717603,review_publication_not_best_eligible
