target,publication_grade,exploration_upper,linear_same_set_upper,nnls_loo_diagnostic
A,0.6799856172470193,0.995717873368386,1.0,0.22826195764631
B,0.4526167423844467,0.9999999999995428,1.0,0.2967893306028091
C,0.1408646475019326,0.7088305708007946,0.9965749203466758,-0.0798282268844317
D,0.3694922427768553,0.9972600106251536,0.98899729284179,0.1480115381110713
E,0.6366777251281004,0.8959186717401739,0.9925528344201096,0.5035273926276245
F,0.3413546827757919,0.9795044994781532,0.8642135511739597,0.4869231544910795
G,0.4940669991061639,0.9756939546117792,0.9713482667423822,0.3201656177531642
H,0.0792810470593082,0.6468884567683941,0.9811731185360896,-1.2887480456778828
