module_id,module_name,candidate_module_id,candidate_module_name,target,candidate_source_file,source_file,source,protocol,method,model,n_train,n_test,r2,rmse,mae,mape,module_description
M2,加两阶段高污染模型,M1,加空间分区,D,tables/innovation_model_metrics.csv,tables/innovation_model_metrics.csv,,temporal_2022_2026,spatial_zone_features,NGBoost,938.0,34.0,0.2891750437945674,42.49065937946107,15.20413020978372,25.74314120712877,先识别高污染样本，再对普通区间和高污染区间分别回归，降低极端值对单一回归器的干扰。
M2,加两阶段高污染模型,M1,加空间分区,E,tables/innovation_model_metrics.csv,tables/innovation_model_metrics.csv,,temporal_2022_2026,spatial_zone_features,PLSR,938.0,34.0,0.3526977686259215,19.57845105247285,9.860954166406252,25.0172769755162,先识别高污染样本，再对普通区间和高污染区间分别回归，降低极端值对单一回归器的干扰。
M2,加两阶段高污染模型,M1,加空间分区,F,tables/innovation_model_metrics.csv,tables/innovation_model_metrics.csv,,temporal_2022_2026,spatial_zone_features,LightGBM,938.0,34.0,0.0499707038367712,78.40720539567539,50.68452550118947,39.320544177193305,先识别高污染样本，再对普通区间和高污染区间分别回归，降低极端值对单一回归器的干扰。
M2,加两阶段高污染模型,M1,加空间分区,G,tables/innovation_model_metrics.csv,tables/innovation_model_metrics.csv,,temporal_2022_2026,spatial_zone_features,PLSR,938.0,34.0,0.0729390203065117,26.419199386877285,20.983220379654256,39.84799122931159,先识别高污染样本，再对普通区间和高污染区间分别回归，降低极端值对单一回归器的干扰。
M2,加两阶段高污染模型,M1,加空间分区,H,tables/innovation_model_metrics.csv,tables/innovation_model_metrics.csv,,temporal_2022_2026,spatial_zone_features,CatBoost,938.0,34.0,0.0006493943830438,0.2357246565020101,0.1215256388894701,215.2993363035081,先识别高污染样本，再对普通区间和高污染区间分别回归，降低极端值对单一回归器的干扰。
M3,加空间背景值+残差,M3,加空间背景值+残差,A,tables/spatial_baseline_residual_fixed_best_metrics.csv,tables/spatial_baseline_residual_fixed_best_metrics.csv,,temporal_2022_2026,spatial_baseline_residual_fixed,XGBoost_raw_alpha1.00,938.0,34.0,0.3815342826145761,15.103768037573351,6.902954104896069,49.66457120386747,先由训练期空间邻域构建背景场，再用机器学习学习残差，形成空间基线校正的回归框架。
M3,加空间背景值+残差,M2,加两阶段高污染模型,B,tables/innovation_model_metrics.csv,tables/spatial_baseline_residual_fixed_best_metrics.csv,,temporal_2022_2026,two_stage_high_pollution,CatBoost,938.0,34.0,-0.0421586059157335,2.09950787877498,1.0348015252730651,401.96567213345816,先由训练期空间邻域构建背景场，再用机器学习学习残差，形成空间基线校正的回归框架。
M3,加空间背景值+残差,M1,加空间分区,C,tables/innovation_model_metrics.csv,tables/spatial_baseline_residual_fixed_best_metrics.csv,,temporal_2022_2026,spatial_zone_features,LightGBM,938.0,34.0,0.0297864792512657,33.50925601659731,22.173775936952733,57.75521366753401,先由训练期空间邻域构建背景场，再用机器学习学习残差，形成空间基线校正的回归框架。
M3,加空间背景值+残差,M1,加空间分区,D,tables/innovation_model_metrics.csv,tables/spatial_baseline_residual_fixed_best_metrics.csv,,temporal_2022_2026,spatial_zone_features,NGBoost,938.0,34.0,0.2891750437945674,42.49065937946107,15.20413020978372,25.74314120712877,先由训练期空间邻域构建背景场，再用机器学习学习残差，形成空间基线校正的回归框架。
M3,加空间背景值+残差,M1,加空间分区,E,tables/innovation_model_metrics.csv,tables/spatial_baseline_residual_fixed_best_metrics.csv,,temporal_2022_2026,spatial_zone_features,PLSR,938.0,34.0,0.3526977686259215,19.57845105247285,9.860954166406252,25.0172769755162,先由训练期空间邻域构建背景场，再用机器学习学习残差，形成空间基线校正的回归框架。
M3,加空间背景值+残差,M1,加空间分区,F,tables/innovation_model_metrics.csv,tables/spatial_baseline_residual_fixed_best_metrics.csv,,temporal_2022_2026,spatial_zone_features,LightGBM,938.0,34.0,0.0499707038367712,78.40720539567539,50.68452550118947,39.320544177193305,先由训练期空间邻域构建背景场，再用机器学习学习残差，形成空间基线校正的回归框架。
M3,加空间背景值+残差,M1,加空间分区,G,tables/innovation_model_metrics.csv,tables/spatial_baseline_residual_fixed_best_metrics.csv,,temporal_2022_2026,spatial_zone_features,PLSR,938.0,34.0,0.0729390203065117,26.419199386877285,20.983220379654256,39.84799122931159,先由训练期空间邻域构建背景场，再用机器学习学习残差，形成空间基线校正的回归框架。
M3,加空间背景值+残差,M1,加空间分区,H,tables/innovation_model_metrics.csv,tables/spatial_baseline_residual_fixed_best_metrics.csv,,temporal_2022_2026,spatial_zone_features,CatBoost,938.0,34.0,0.0006493943830438,0.2357246565020101,0.1215256388894701,215.2993363035081,先由训练期空间邻域构建背景场，再用机器学习学习残差，形成空间基线校正的回归框架。
M4,加时间加权,M4,加时间加权,A,tables/innovation_model_metrics.csv,tables/innovation_model_metrics.csv,,temporal_2022_2026,temporal_weighted,LightGBM,938.0,34.0,0.4447405502320772,14.311180881210284,7.207167503753856,53.850362722247965,对靠近预测年份的训练样本提高权重，使模型更重视近期污染状态和驱动关系。
