protocol,target,method,model,n_train,n_test,n_members,pool_variant,top_n,r2,r2_log1p,rmse,mae,mape
temporal_2022_2026,A,strict_validation_linear_stack,Ridge_no_calibration_top40,,34,40,no_calibration,40,0.9957178733683861,0.9601862729192107,1.2567741657170977,0.9875006144338719,9.889797628767708
temporal_2022_2026,B,strict_validation_linear_stack,Ridge_legacy_top80,,34,80,legacy,80,0.9999999999995427,0.999999999994521,1.390723268336262e-06,8.159207615340182e-07,0.0006604189545194176
temporal_2022_2026,C,strict_validation_linear_stack,Linear_legacy_top20,,34,20,legacy,20,0.7088305708007946,-0.5848105769985785,18.35709738371062,15.504820508970518,47.493823955419785
temporal_2022_2026,D,strict_validation_linear_stack,Ridge_no_calibration_top80,,34,80,no_calibration,80,0.9972600106251537,0.9737494755933112,2.6380715873977545,2.175436246212307,6.932952095041022
temporal_2022_2026,E,strict_validation_linear_stack,Linear_legacy_top20,,34,20,legacy,20,0.8959186717401739,0.695938559029958,7.850750771938559,6.0101729477209425,18.590136574855638
temporal_2022_2026,F,strict_validation_linear_stack,Ridge_legacy_top80,,34,80,legacy,80,0.9795044994781532,0.9481805276026865,11.516399986472075,8.354450222556022,8.46106825048253
temporal_2022_2026,G,strict_validation_linear_stack,Ridge_no_calibration_top80,,34,80,no_calibration,80,0.9756939546117793,0.9648334584601584,4.277821450709166,3.1694126026836247,5.289990496056069
temporal_2022_2026,H,strict_validation_linear_stack,Linear_no_calibration_top20,,34,20,no_calibration,20,0.6468884567683941,0.6400183276272781,0.14012061313195767,0.10303491156168433,272.8395317459119
