tier,mean_r2,median_r2,min_r2,max_r2,n_positive
Publication-grade,0.39929246299745225,0.41105449258065097,0.0792810470593082,0.6799856172470193,8
Exploration upper,0.8999767546740471,0.9775992270449663,0.6468884567683941,0.9999999999995428,8
Linear same-set upper,0.9743574980076259,0.9907750636309498,0.8642135511739597,1.0,8
NNLS LOO diagnostic,0.076887839833718,0.26252564412455953,-1.2887480456778828,0.5035273926276245,6
