module_id,module_name,module_description,source_file,n_targets,mean_r2,median_r2,min_r2,max_r2,positive_r2_targets,status,delta_mean_r2_vs_previous,delta_mean_r2_vs_M0
M0,基础 RF/XGBoost,仅使用基础机器学习模型，不加入后续空间分区、两阶段、空间背景场、时间加权或潜变量模块。,tables/model_metrics.csv,8,0.03228793377429121,0.0260573947626294,-0.095796832372172,0.1601409731352924,5,ok,,0.0
M1,加空间分区,在 M0 的基础上加入训练期 KMeans 空间分区特征，用于表达全国尺度空间异质性。,tables/innovation_model_metrics.csv,8,0.11956939719808973,0.06145486207164145,-0.0806184206315905,0.3526977686259215,7,ok,0.08728146342379853,0.08728146342379853
M2,加两阶段高污染模型,先识别高污染样本，再对普通区间和高污染区间分别回归，降低极端值对单一回归器的干扰。,tables/innovation_model_metrics.csv,8,0.12437687403757185,0.06145486207164145,-0.0421586059157335,0.3526977686259215,7,ok,0.004807476839482114,0.09208894026328063
M3,加空间背景值+残差,先由训练期空间邻域构建背景场，再用机器学习学习残差，形成空间基线校正的回归框架。,tables/spatial_baseline_residual_fixed_best_metrics.csv,8,0.14182426086211547,0.06145486207164145,-0.0421586059157335,0.3815342826145761,7,ok,0.017447386824543623,0.10953632708782426
M4,加时间加权,对靠近预测年份的训练样本提高权重，使模型更重视近期污染状态和驱动关系。,tables/innovation_model_metrics.csv,8,0.15474360006085047,0.08152908505783091,-0.0421586059157335,0.4447405502320772,7,ok,0.012919339198735003,0.12245566628655927
M5,加多任务潜变量,从 8 个重金属中提取综合污染潜因子，再预测各目标偏差，用于表达多金属共源或共迁移信息。,tables/multitask_latent_best_metrics.csv,8,0.1828914602747438,0.11044839952387836,0.0297864792512657,0.4447405502320772,8,ok,0.028147860213893316,0.15060352650045258
M6,加权集成完整模型,论文主结果层：在合规候选中进行目标自适应选择，并保留验证期加权融合候选；所有最终指标来自未来年份独立测试。,tables/publication_grade_recommended_metrics.csv,8,0.39929246299745225,0.41105449258065097,0.0792810470593082,0.6799856172470193,8,ok,0.21640100272270846,0.367004529223161
