protocol,target,baseline,external_covariates,delta_r2
literature_2019_2020,A,0.10314629743308401,0.1323472335024758,0.02920093606939178
literature_2019_2020,B,0.041590321982617584,0.07434714560372246,0.03275682362110488
literature_2019_2020,C,0.15222463233936356,0.07463451506207419,-0.07759011727728937
literature_2019_2020,D,0.20247832892432693,0.10087734261384218,-0.10160098631048475
literature_2019_2020,E,0.10715794970182646,0.12451455103653475,0.017356601334708288
literature_2019_2020,F,0.1028483466874236,0.13777967540601577,0.03493132871859217
literature_2019_2020,G,-0.011846106672083856,0.01633880395827736,0.028184910630361215
literature_2019_2020,H,0.4234550387085234,0.47516602456793355,0.05171098585941014
temporal_2021_2026,A,0.2645018258554941,0.3515695880908313,0.08706776223533719
temporal_2021_2026,B,0.4412719531887863,0.5044481796883015,0.06317622649951515
temporal_2021_2026,C,-0.07290228523540776,-0.028975485442088944,0.043926799793318816
temporal_2021_2026,D,0.17702150897470015,0.18260006495310932,0.005578555978409172
temporal_2021_2026,E,0.3617345819020019,0.5265010921517347,0.16476651024973277
temporal_2021_2026,F,-0.01983552781710385,-0.013722728138690465,0.006112799678413383
temporal_2021_2026,G,-1.1915167624447425,-1.3640248715480876,-0.17250810910334513
temporal_2021_2026,H,0.15001937352468264,0.14357128656126739,-0.006448086963415256
