protocol,target,method,model,status,n_train,n_test,n_components,pca_explained_variance,r2,r2_log1p,rmse,mae,mape
literature_2019_2020,A,multitask_latent_pca,Latent_Ridge,ok,815,100,4,0.841471799992667,0.14320842150018664,0.10326955963956908,12.939182349923893,6.931525572603585,43.26599119965338
literature_2019_2020,B,multitask_latent_pca,Latent_Ridge,ok,815,100,4,0.841471799992667,-0.046191206307439225,-0.17987162683838198,2.2234002532947494,1.0275507186438393,221.2307443827917
literature_2019_2020,C,multitask_latent_pca,Latent_Ridge,ok,815,100,4,0.841471799992667,-0.031554659397309504,-0.07330047847452215,53.221391571899716,25.796107818899294,38.7182897065192
literature_2019_2020,D,multitask_latent_pca,Latent_Ridge,ok,815,100,4,0.841471799992667,0.01699445088615481,-0.02561588678205884,57.07330512321973,21.994396457250573,48.127014933364634
literature_2019_2020,E,multitask_latent_pca,Latent_Ridge,ok,815,100,4,0.841471799992667,-0.011807471875012743,-0.024644851499718845,11.293185843230964,7.568405375666981,28.731841232990117
literature_2019_2020,F,multitask_latent_pca,Latent_Ridge,ok,815,100,4,0.841471799992667,-0.05729251311750683,0.08590749429838573,88.2500252131764,45.054695237373934,80.66583575740488
literature_2019_2020,G,multitask_latent_pca,Latent_Ridge,ok,815,100,4,0.841471799992667,-0.06969311369523368,-0.14963712305005528,128.86862221380977,49.005643717820725,37.59762786050917
literature_2019_2020,H,multitask_latent_pca,Latent_Ridge,ok,815,100,4,0.841471799992667,0.006458369530376817,0.027141972541718018,0.3558884329959796,0.12915172086182944,84.6483299053809
literature_2019_2020,A,multitask_latent_pca,Latent_PLSR,ok,815,100,4,0.841471799992667,-0.008518932969517223,0.07541340430727672,14.03819486625891,6.437828256839412,31.011517210053093
literature_2019_2020,B,multitask_latent_pca,Latent_PLSR,ok,815,100,4,0.841471799992667,-0.0164090203508378,-0.058754559932650885,2.191524718506214,0.9327079693600545,161.8812871544333
literature_2019_2020,C,multitask_latent_pca,Latent_PLSR,ok,815,100,4,0.841471799992667,-0.07534416524403809,-0.07083300843946105,54.33927563137984,24.660359431403823,34.25757202347639
literature_2019_2020,D,multitask_latent_pca,Latent_PLSR,ok,815,100,4,0.841471799992667,-0.01320783521249469,0.05412111111619944,57.94344446371523,20.371932037740986,38.71885898133487
literature_2019_2020,E,multitask_latent_pca,Latent_PLSR,ok,815,100,4,0.841471799992667,0.007354694508332704,0.03182105954997916,11.185736394988002,7.3507688367717545,26.84577565836488
literature_2019_2020,F,multitask_latent_pca,Latent_PLSR,ok,815,100,4,0.841471799992667,-0.08376922780522866,0.029169917755424546,89.34817116254212,43.76105791157848,61.596413891263104
literature_2019_2020,G,multitask_latent_pca,Latent_PLSR,ok,815,100,4,0.841471799992667,-0.02244940578269894,0.0064721973826944446,125.99070287338022,45.9046816644632,33.06215942376719
literature_2019_2020,H,multitask_latent_pca,Latent_PLSR,ok,815,100,4,0.841471799992667,-0.013837126810763767,0.0009887640396324393,0.3595049990758318,0.12531288827726145,79.53555091979482
literature_2019_2020,A,multitask_latent_pca,Latent_RF,ok,815,100,4,0.841471799992667,0.10671565723813126,0.17500860769118687,13.211864158714082,6.24425349995438,34.47321990010758
literature_2019_2020,B,multitask_latent_pca,Latent_RF,ok,815,100,4,0.841471799992667,-0.011830593918784604,-0.125218733416963,2.186583273041641,1.0032183776813424,230.46373630466678
literature_2019_2020,C,multitask_latent_pca,Latent_RF,ok,815,100,4,0.841471799992667,-0.01871844082669938,0.02974639819699687,52.88922304540042,23.776274773271258,33.973172089745205
literature_2019_2020,D,multitask_latent_pca,Latent_RF,ok,815,100,4,0.841471799992667,0.0587284830458934,0.0008959208353577219,55.848626534818244,22.044423159448144,49.36938213274998
literature_2019_2020,E,multitask_latent_pca,Latent_RF,ok,815,100,4,0.841471799992667,-0.006130151774974335,-0.006178507286437984,11.261457859191237,7.493670375746649,28.04836715525439
literature_2019_2020,F,multitask_latent_pca,Latent_RF,ok,815,100,4,0.841471799992667,0.11242722738830502,0.2410713123715449,80.85730188112342,39.81568637126546,69.50072434858978
literature_2019_2020,G,multitask_latent_pca,Latent_RF,ok,815,100,4,0.841471799992667,-0.016306722409513696,-0.13056615152838913,125.61166852258674,52.2150393884053,43.24528572936334
literature_2019_2020,H,multitask_latent_pca,Latent_RF,ok,815,100,4,0.841471799992667,0.013159804328668256,0.03702328532082344,0.35468616913590145,0.1288590936457044,83.53097229855106
literature_2019_2020,A,multitask_latent_pca,Latent_ExtraTrees,ok,815,100,4,0.841471799992667,0.16224047354965832,0.22358097156426637,12.79466520588125,6.1239039573061405,34.445175939529044
literature_2019_2020,B,multitask_latent_pca,Latent_ExtraTrees,ok,815,100,4,0.841471799992667,-0.020325313167259385,-0.141974598769665,2.19574270597197,1.0027892458646828,236.20116319833699
literature_2019_2020,C,multitask_latent_pca,Latent_ExtraTrees,ok,815,100,4,0.841471799992667,-0.0012233073085126112,0.03928182058347662,52.43310524996071,23.992265955971835,34.180871048640604
literature_2019_2020,D,multitask_latent_pca,Latent_ExtraTrees,ok,815,100,4,0.841471799992667,0.09084552551762926,0.033587080368292166,54.887554185306435,21.788799533631813,48.85245016720526
literature_2019_2020,E,multitask_latent_pca,Latent_ExtraTrees,ok,815,100,4,0.841471799992667,-0.022846189275678608,-0.019317892035280337,11.354622489773776,7.6176474954510915,28.39994728336505
literature_2019_2020,F,multitask_latent_pca,Latent_ExtraTrees,ok,815,100,4,0.841471799992667,0.11249699400195234,0.25646650586436925,80.85412397212647,39.66260461462743,71.60693068800342
literature_2019_2020,G,multitask_latent_pca,Latent_ExtraTrees,ok,815,100,4,0.841471799992667,-0.003347493653199196,-0.08733981128956536,124.80824328754268,50.320969918190805,41.67779118851654
literature_2019_2020,H,multitask_latent_pca,Latent_ExtraTrees,ok,815,100,4,0.841471799992667,0.011087199395510838,0.031634191781926946,0.3550584374762286,0.12955881519296839,85.5625639267716
temporal_2022_2026,A,multitask_latent_pca,Latent_Ridge,ok,938,34,4,0.83642384933506,0.11350328924255249,-0.06918940526850359,18.08281569795265,8.447155931324613,74.92113435625224
temporal_2022_2026,B,multitask_latent_pca,Latent_Ridge,ok,938,34,4,0.83642384933506,0.043678671640290045,0.027824729072895238,2.011187309721255,0.8743771703732157,371.01700888362916
temporal_2022_2026,C,multitask_latent_pca,Latent_Ridge,ok,938,34,4,0.83642384933506,-0.2302065928171959,-0.827651028387344,37.73289693635756,31.6271124237429,100.26072636044543
temporal_2022_2026,D,multitask_latent_pca,Latent_Ridge,ok,938,34,4,0.83642384933506,-0.029574244759298596,-0.03583802333628894,51.13767422330228,18.819424156746365,31.729989374697197
temporal_2022_2026,E,multitask_latent_pca,Latent_Ridge,ok,938,34,4,0.83642384933506,-0.036087308773954385,0.009921369696073823,24.76982592976224,11.075252327169334,25.941236479965518
temporal_2022_2026,F,multitask_latent_pca,Latent_Ridge,ok,938,34,4,0.83642384933506,-0.2644021084442887,-1.4719841152609523,90.45448007221707,53.904864914661005,37.01244879973774
temporal_2022_2026,G,multitask_latent_pca,Latent_Ridge,ok,938,34,4,0.83642384933506,0.03169248201113739,-0.16215071589711694,27.000521566741096,23.00879400362868,41.931943882338956
temporal_2022_2026,H,multitask_latent_pca,Latent_Ridge,ok,938,34,4,0.83642384933506,0.07181619981196097,0.07129876164010551,0.22717632184584957,0.1326738107000661,272.9238442608191
temporal_2022_2026,A,multitask_latent_pca,Latent_PLSR,ok,938,34,4,0.83642384933506,0.05451070710333017,0.15268447577963684,18.674793112696783,7.079328630240245,45.2990408630012
temporal_2022_2026,B,multitask_latent_pca,Latent_PLSR,ok,938,34,4,0.83642384933506,-0.002865164719529689,0.0610120062577868,2.0595477820910655,0.7690218634826756,236.4830975503995
temporal_2022_2026,C,multitask_latent_pca,Latent_PLSR,ok,938,34,4,0.83642384933506,-0.08388334854242796,-0.6118521956795497,35.41786648809851,29.146884911129337,90.5998510601336
temporal_2022_2026,D,multitask_latent_pca,Latent_PLSR,ok,938,34,4,0.83642384933506,-0.027964915252408185,0.03983929705663536,51.09769189399794,18.24010304870276,27.94885981498695
temporal_2022_2026,E,multitask_latent_pca,Latent_PLSR,ok,938,34,4,0.83642384933506,-0.05457946241164646,0.005547077815558632,24.989895052253893,10.941740563647107,24.212712574870842
temporal_2022_2026,F,multitask_latent_pca,Latent_PLSR,ok,938,34,4,0.83642384933506,-0.600888304846459,-2.663339603162884,101.78129961520466,67.27282056666957,49.615740251785326
temporal_2022_2026,G,multitask_latent_pca,Latent_PLSR,ok,938,34,4,0.83642384933506,-0.33190134025755214,-0.48750006872667906,31.666606802899384,24.604918308262285,48.636156539877376
