protocol,target,method,model,n_train,n_test,n_features,r2,r2_log1p,rmse,mae,mape
temporal_2022_2026,A,same_set_linear_stack_upper_bound,OLS_top50,34,34,50,1.0,1.0,4.4383666026146175e-13,2.734805845835474e-13,1.868271184018098e-12
temporal_2022_2026,B,same_set_linear_stack_upper_bound,OLS_top50,34,34,50,1.0,1.0,4.0805574350727636e-13,2.811847976680326e-13,1.5401945340279732e-10
temporal_2022_2026,C,same_set_linear_stack_upper_bound,OLS_top50,34,34,50,0.9965749203466758,0.9726373246466069,1.990978004856213,1.3668812091163938,5.191727045674299
temporal_2022_2026,D,same_set_linear_stack_upper_bound,OLS_top50,34,34,50,0.98899729284179,0.8776091932635067,5.286423041487405,4.055564571047618,14.026305693023113
temporal_2022_2026,E,same_set_linear_stack_upper_bound,OLS_top50,34,34,50,0.9925528344201096,0.9767100900362159,2.100004776819453,1.4655565824700028,4.603438315142763
temporal_2022_2026,F,same_set_linear_stack_upper_bound,OLS_top50,34,34,50,0.8642135511739597,0.5500619807696814,29.642558883532278,22.17691008998048,23.32097375748728
temporal_2022_2026,G,same_set_linear_stack_upper_bound,OLS_top50,34,34,50,0.9713482667423822,0.9519564193027941,4.644521217978651,3.4602127447078854,5.798762592851718
temporal_2022_2026,H,same_set_linear_stack_upper_bound,OLS_top50,34,34,50,0.9811731185360897,0.9672662003306209,0.03235454268616893,0.02155498966568683,55.87390525441509
