target,validation,fold,model,status,n_train,n_test,r2,r2_log1p,rmse,mae,mape
A,random_fivefold_cv,pooled,RF,ok,778,972,0.06884211102825744,0.30187647598640566,20.30112698796024,5.872976446514324,38.374141720182315
B,random_fivefold_cv,pooled,ExtraTrees,ok,778,972,0.027048793548964167,0.18040942369859525,4.735904613809859,1.0804781019916383,165.13748131527302
C,random_fivefold_cv,pooled,XGBoost,ok,778,972,0.063653840281648,0.19965238586896572,33.55080962112862,19.62038405663447,46.38831538064434
D,random_fivefold_cv,pooled,XGBoost,ok,778,972,0.07206304695968713,0.12592305203527576,48.646772289019346,16.911346238884317,39.16664393935475
E,random_fivefold_cv,pooled,XGBoost,ok,778,972,0.02513636855475887,0.09563046605701864,28.470480332426742,7.0983933780937045,20.04259776642998
F,random_fivefold_cv,pooled,LightGBM,ok,778,972,0.04930442446396799,0.3573016265769482,273.061804318929,50.699674117487305,64.17291511719436
G,random_fivefold_cv,pooled,ExtraTrees,ok,778,972,0.001290253984283618,0.057869093529627436,352.0374402644201,63.00727545775486,47.33916761964442
H,random_fivefold_cv,pooled,XGBoost,ok,778,972,0.175211950286712,0.1963500190903067,0.3396009238819436,0.10121612165860064,84.18349481836279
