target,external_model,external_r2,external_rmse,external_mae,external_mape,temporal_method,temporal_model,temporal_r2,temporal_rmse,temporal_mae,temporal_mape,delta_r2_temporal_minus_external
A,HistGBR,0.2756597198867775,16.34552258518465,6.867227853478993,48.22326413831211,hybrid_spatiotemporal_sequence,LightGBM,0.2150397222145122,17.015759231349932,7.426875960762005,52.39703677783808,-0.06061999767226531
B,LightGBM,0.1542918862112773,1.891301851808592,0.8984757956817854,369.6555544205499,hybrid_spatiotemporal_sequence,LightGBM,0.1615737890157008,1.8831417959737733,0.9256855136387264,392.8884745566219,0.007281902804423507
C,NGBoost,-0.0217209801130433,34.387236850374286,22.61388242038168,62.16715191491436,pure_temporal_baseline,LastAnnualMean,-0.0189358701560342,34.340336770450435,23.978035805626604,68.00359958124169,0.0027851099570091013
D,HistGBR,0.2738629131938727,42.94587408165429,15.721180275799751,26.95578593383601,hybrid_spatiotemporal_sequence,LightGBM,0.2468274259049621,43.73804688547724,15.743947027062283,30.25446249626897,-0.027035487288910587
E,ExtraTrees,0.4887473616375763,17.399731984607786,8.888919012571323,24.2218863321408,hybrid_spatiotemporal_sequence,LightGBM,0.3845840402154145,19.0901418292995,9.70612039570695,23.745840397883164,-0.10416332142216184
F,LightGBM,0.2336708172790983,70.41986013279895,52.6462209980052,46.89243364890417,hybrid_spatiotemporal_sequence,LightGBM,-0.0250190500744964,81.44294029886683,52.37403804861725,41.026248111814446,-0.2586898673535947
G,NGBoost,0.0051004336082423,27.3687600736106,20.90391034327537,39.46434703370189,hybrid_spatiotemporal_sequence,XGBoost,-0.2451097245483935,30.61747092665472,22.155094997630403,43.48622121582915,-0.2502101581566358
H,NGBoost,0.049005576289838,0.2299508698569624,0.1043166429223587,169.31537589044046,hybrid_spatiotemporal_sequence,XGBoost,-0.0028292498744433,0.2361345676332728,0.1172743117340347,194.3143974762608,-0.051834826164281304
