protocol,target,method,model,status,n_train,n_test,n_features,r2,r2_log1p,rmse,mae,mape,high_threshold,train_high_rate,gate_train_auc
literature_2019_2020,A,risk_gated_quantile,GateQ90_P90_pow1,ok,815,100,45,0.17184700839505218,0.0989413181106289,12.721095890812462,6.366854360528167,38.30961510983703,20.48,0.10061349693251534,1.0
literature_2019_2020,B,quantile_regression,QuantileP50,ok,815,100,45,0.005678572487144207,0.013269011175350398,2.167581907797645,0.8551294894403801,125.94799289172384,,,
literature_2019_2020,C,risk_gated_quantile,GateQ90_P90_pow1,ok,815,100,45,0.07149932905642409,0.04159921455889248,50.49300459369936,24.11315379096025,38.26054348785767,82.196,0.10061349693251534,1.0
literature_2019_2020,D,risk_gated_quantile,GateQ90_P90_pow1,ok,815,100,45,0.10759720861494704,-0.1694916527262733,54.37953613029141,23.249320480140383,64.36732529084003,51.70000000000001,0.10061349693251534,1.0
literature_2019_2020,E,risk_gated_quantile,GateQ80_P75_pow1,ok,815,100,45,0.07515026231194333,0.051395173449546694,10.797000532758632,7.331797528721622,27.685184957710785,35.807,0.2,1.0
literature_2019_2020,F,risk_gated_quantile,GateQ90_P90_pow1,ok,815,100,45,0.15942946596951013,0.2769746167200422,78.68724510409398,40.00293691030034,66.43879009600194,125.22000000000003,0.10061349693251534,1.0
literature_2019_2020,G,quantile_regression,QuantileP75,ok,815,100,45,-0.04932903784998577,-0.25001406744403964,127.63607217744034,57.90529408318451,53.82040448800224,,,
literature_2019_2020,H,risk_gated_quantile,GateQ90_P90_pow1,ok,815,100,45,0.506470723010255,0.5244337793525007,0.2508287412450786,0.08526319498807756,46.9847875273503,0.2,0.10306748466257669,1.0
temporal_2022_2026,A,risk_gated_quantile,GateQ80_P75_pow2,ok,938,34,45,0.10166364237688297,0.18433812273863304,18.203168118676206,7.207930763833199,46.82734780487642,17.306,0.20042643923240938,1.0
temporal_2022_2026,B,risk_gated_quantile,GateQ90_P90_pow1,ok,938,34,45,0.4526167423844467,0.44957954932946387,1.5215854757796996,0.6897384065399956,209.55408471946373,1.7036000000000007,0.10021321961620469,1.0
temporal_2022_2026,C,risk_gated_quantile,GateQ90_P90_pow1,ok,938,34,45,-0.017271813995101137,-0.2233364254186616,34.312284171296085,23.48822882167563,65.00256331471644,82.53200000000001,0.10021321961620469,1.0
temporal_2022_2026,D,quantile_regression,QuantileP90,ok,938,34,45,0.3335043657340968,0.1486342672213301,41.14440551030527,21.63302469964772,52.0728719298467,,,
temporal_2022_2026,E,quantile_regression,QuantileP90,ok,938,34,45,0.5034663904128268,0.17165537012375054,17.14743253602895,10.78148372828819,35.07285965986677,,,
temporal_2022_2026,F,quantile_regression,QuantileP90,ok,938,34,45,0.3013674196809665,0.02659223362378904,67.2375520373992,42.84633949942162,34.39719479114865,,,
temporal_2022_2026,G,quantile_regression,QuantileP50,ok,938,34,45,-0.06412818906217588,-0.23898392531132018,28.304955442582607,20.697477815043005,40.5560434713885,,,
temporal_2022_2026,H,quantile_regression,QuantileP50,ok,938,34,45,0.029034045377839823,0.06668418158608791,0.2323528868607054,0.10223168525707647,133.96165519113964,,,
