cutoff_year,n_test,mean_r2,median_r2,min_r2,positive_targets
2019,157,0.09919438061379039,0.10298731776085107,-0.3518228128341605,7
2020,82,-0.507722595736952,0.06891014798821665,-5.308507522629094,5
2021,57,-0.4862442910637562,0.16724622723578791,-5.496358249784961,5
2022,34,0.166976699908643,0.13521667894183226,-0.19092439315013943,7
2023,18,0.13950339537201928,0.17422752298208843,-0.4012472282935613,7
