protocol,target,source,method,model,n_train,n_test,r2,r2_log1p,rmse,mae,mape,base_candidate
temporal_2022_2026,E,spatiotemporal_innovation,spatial_zone_features,PLSR,938.0,34.0,0.3526977686259215,0.2935801133632274,19.57845105247285,9.860954166406252,25.0172769755162,
temporal_2022_2026,F,spatiotemporal_innovation,spatial_zone_features,LightGBM,938.0,34.0,0.0499707038367712,-0.6819089199053883,78.40720539567539,50.68452550118947,39.320544177193305,
temporal_2022_2026,G,spatiotemporal_innovation,direct_global,PLSR,938.0,34.0,0.1130874662788906,-0.1889181206333607,25.840796608068377,20.383590330658198,41.11350703143138,
temporal_2022_2026,H,spatiotemporal_innovation,direct_global,CatBoost,938.0,34.0,0.0119117472531586,0.0215801488091033,0.2343926232726224,0.1190760598449237,213.07050838195912,
literature_2019_2020,A,multitask_latent,multitask_latent_pca,Latent_ExtraTrees,815.0,100.0,0.1622404735496583,0.2235809715642663,12.79466520588125,6.1239039573061405,34.445175939529044,
literature_2019_2020,B,multitask_latent,multitask_latent_pca,Latent_RF,815.0,100.0,-0.0118305939187846,-0.125218733416963,2.186583273041641,1.0032183776813424,230.4637363046668,
literature_2019_2020,C,multitask_latent,multitask_latent_pca,Latent_ExtraTrees,815.0,100.0,-0.0012233073085126,0.0392818205834766,52.43310524996071,23.992265955971835,34.180871048640604,
literature_2019_2020,D,multitask_latent,multitask_latent_pca,Latent_ExtraTrees,815.0,100.0,0.0908455255176292,0.0335870803682921,54.88755418530644,21.788799533631813,48.85245016720526,
literature_2019_2020,E,multitask_latent,multitask_latent_pca,Latent_PLSR,815.0,100.0,0.0073546945083327,0.0318210595499791,11.185736394988002,7.350768836771754,26.84577565836488,
literature_2019_2020,F,multitask_latent,multitask_latent_pca,Latent_ExtraTrees,815.0,100.0,0.1124969940019523,0.2564665058643692,80.85412397212647,39.66260461462743,71.60693068800342,
literature_2019_2020,G,multitask_latent,multitask_latent_pca,Latent_ExtraTrees,815.0,100.0,-0.0033474936531991,-0.0873398112895653,124.80824328754268,50.320969918190805,41.67779118851654,
literature_2019_2020,H,multitask_latent,multitask_latent_pca,Latent_RF,815.0,100.0,0.0131598043286682,0.0370232853208234,0.3546861691359014,0.1288590936457044,83.53097229855106,
temporal_2022_2026,A,multitask_latent,multitask_latent_pca,Latent_Ridge,938.0,34.0,0.1135032892425524,-0.0691894052685035,18.08281569795265,8.447155931324613,74.92113435625224,
temporal_2022_2026,B,multitask_latent,multitask_latent_pca,Latent_ExtraTrees,938.0,34.0,0.1078093327688661,0.1050022700996399,1.9425823440011536,0.8809979459527045,388.74248982219297,
