target,n_years,total_n,mean_rmse,max_rmse,mean_abs_bias,worst_year,median_shift_iqr,test_over_train_p90_ratio
A,5,34,9.829367523058615,12.55418425267049,6.328475,2022,0.16523463317911438,1.0751090047393363
B,5,34,1.0489151810113644,2.009637216537624,0.5341381652890229,2022,-0.14193548387096777,1.0184315567034508
C,5,34,31.89756212543593,63.86,16.83135166666667,2025,-0.6194956718103125,0.833107158435516
D,5,34,20.9415179897124,56.97703517646386,9.13142,2022,0.061688311688311875,0.9891890875589895
E,5,34,12.806359132813412,33.92640938822817,6.551344155408726,2024,0.11202635914332758,1.2092875318066156
F,5,34,51.01349857078485,75.29804572285799,31.250407538027424,2023,1.2024279906087154,1.2469050371091368
G,5,34,20.247435146068717,36.629999999999995,13.198465958333333,2025,-0.26886468745337894,0.5895903880713752
H,5,34,0.12286694686514954,0.314830329304532,0.05441358333333326,2022,-0.5957446808510638,1.5654320987654295
