protocol,target,method,model,status,n_train,n_test,n_components,pca_explained_variance,r2,r2_log1p,rmse,mae,mape
literature_2019_2020,A,multitask_latent_pca,Latent_ExtraTrees,ok,815,100,4,0.841471799992667,0.16224047354965832,0.22358097156426637,12.79466520588125,6.1239039573061405,34.445175939529044
literature_2019_2020,B,multitask_latent_pca,Latent_RF,ok,815,100,4,0.841471799992667,-0.011830593918784604,-0.125218733416963,2.186583273041641,1.0032183776813424,230.46373630466678
literature_2019_2020,C,multitask_latent_pca,Latent_ExtraTrees,ok,815,100,4,0.841471799992667,-0.0012233073085126112,0.03928182058347662,52.43310524996071,23.992265955971835,34.180871048640604
literature_2019_2020,D,multitask_latent_pca,Latent_ExtraTrees,ok,815,100,4,0.841471799992667,0.09084552551762926,0.033587080368292166,54.887554185306435,21.788799533631813,48.85245016720526
literature_2019_2020,E,multitask_latent_pca,Latent_PLSR,ok,815,100,4,0.841471799992667,0.007354694508332704,0.03182105954997916,11.185736394988002,7.3507688367717545,26.84577565836488
literature_2019_2020,F,multitask_latent_pca,Latent_ExtraTrees,ok,815,100,4,0.841471799992667,0.11249699400195234,0.25646650586436925,80.85412397212647,39.66260461462743,71.60693068800342
literature_2019_2020,G,multitask_latent_pca,Latent_ExtraTrees,ok,815,100,4,0.841471799992667,-0.003347493653199196,-0.08733981128956536,124.80824328754268,50.320969918190805,41.67779118851654
literature_2019_2020,H,multitask_latent_pca,Latent_RF,ok,815,100,4,0.841471799992667,0.013159804328668256,0.03702328532082344,0.35468616913590145,0.1288590936457044,83.53097229855106
temporal_2022_2026,A,multitask_latent_pca,Latent_Ridge,ok,938,34,4,0.83642384933506,0.11350328924255249,-0.06918940526850359,18.08281569795265,8.447155931324613,74.92113435625224
temporal_2022_2026,B,multitask_latent_pca,Latent_ExtraTrees,ok,938,34,4,0.83642384933506,0.10780933276886617,0.10500227009963992,1.9425823440011538,0.8809979459527045,388.74248982219297
temporal_2022_2026,C,multitask_latent_pca,Latent_ExtraTrees,ok,938,34,4,0.83642384933506,-0.03946612920855341,-0.3233534872614481,34.68456846826277,23.56596022126305,68.27905995632406
temporal_2022_2026,D,multitask_latent_pca,Latent_ExtraTrees,ok,938,34,4,0.83642384933506,0.05782126024389389,0.1963700211660856,48.91913703805929,17.465621947055574,28.482632614202437
temporal_2022_2026,E,multitask_latent_pca,Latent_Ridge,ok,938,34,4,0.83642384933506,-0.036087308773954385,0.009921369696073823,24.76982592976224,11.075252327169334,25.941236479965518
temporal_2022_2026,F,multitask_latent_pca,Latent_ExtraTrees,ok,938,34,4,0.83642384933506,-0.1282707143846018,-0.937197462487128,85.44647160127496,53.05000238349103,38.88639759287636
temporal_2022_2026,G,multitask_latent_pca,Latent_Ridge,ok,938,34,4,0.83642384933506,0.03169248201113739,-0.16215071589711694,27.000521566741096,23.00879400362868,41.931943882338956
temporal_2022_2026,H,multitask_latent_pca,Latent_RF,ok,938,34,4,0.83642384933506,0.07586433740959064,0.08438034556346108,0.22668038239828397,0.12986047344537832,268.89800150256065
