cutoff_year,feature_set,target,model,status,n_train,n_test,test_year_min,test_year_max,n_features,r2,r2_log1p,rmse,mae,mape
2019,external,A,ExtraTrees,ok,815,157,2019,2026,128,0.083966093679408,0.11587950937471836,14.196051954636538,6.491677193935264,41.85258368052446
2019,external,A,HistGBR,ok,815,157,2019,2026,128,0.11523271022300807,0.06167468901140816,13.951674477417589,7.08132274846273,46.08514192317592
2019,external,A,ElasticNet,ok,815,157,2019,2026,128,0.03557439347198754,0.07264346971992752,14.566196756545603,7.041810248708243,49.204599453407994
2019,external,A,XGBoost,ok,815,157,2019,2026,128,0.040730187591896394,0.05580286204003837,14.527209326439763,6.712020018049106,43.955864599310075
2019,external,A,LightGBM,ok,815,157,2019,2026,128,0.053940364424214016,0.03360674337426861,14.426834915718695,6.867390083475037,45.464438851937764
2019,external,A,CatBoost,ok,815,157,2019,2026,128,0.10547400354164482,0.11905710019657179,14.028404784322625,6.652394738439136,40.22317290034165
2019,external,B,ExtraTrees,ok,815,157,2019,2026,128,0.31300327481329127,0.13941497871601405,2.3038980120007357,1.0948480433072063,274.33843624711517
2019,external,B,HistGBR,ok,815,157,2019,2026,128,0.2514848361230493,0.043521864535074894,2.4048401721840396,1.1465915764900778,253.88642118185118
2019,external,B,ElasticNet,ok,815,157,2019,2026,128,0.2949733185744067,0.017159254011565928,2.3339346575973416,1.1635734327312282,304.239360514304
2019,external,B,XGBoost,ok,815,157,2019,2026,128,0.1817444672499121,0.0325401333978218,2.5143769796690973,1.1478401733272396,251.94895492995872
2019,external,B,LightGBM,ok,815,157,2019,2026,128,0.21827275094605358,0.1310261468308732,2.4576132618176922,1.1067353782546434,237.17028182400867
2019,external,B,CatBoost,ok,815,157,2019,2026,128,0.1841645998262339,0.16404515842961453,2.5106558732948225,1.0847412050032046,223.9590928559577
2019,external,C,ExtraTrees,ok,815,157,2019,2026,128,0.017842122937945737,-0.09101361340959713,47.64610299945174,26.374040437343275,55.96415543373088
2019,external,C,HistGBR,ok,815,157,2019,2026,128,0.04292887213245622,-0.08457018464566546,47.0336670721526,26.11446495612526,54.480350636284626
2019,external,C,ElasticNet,ok,815,157,2019,2026,128,-0.07362162920124815,-0.19915338852607256,49.81525517504037,27.6551159748632,56.11528081324193
2019,external,C,XGBoost,ok,815,157,2019,2026,128,0.04845036154958737,-0.1008082491223663,46.897798625139096,26.183765196101678,56.82084385189407
2019,external,C,LightGBM,ok,815,157,2019,2026,128,0.0221128406917811,-0.10757105127119515,47.54240035329188,26.31500859954819,55.97463810386428
2019,external,C,CatBoost,ok,815,157,2019,2026,128,0.036809824923699885,-0.01792675934309984,47.18378270634741,25.1133228060004,51.880282355516904
2019,external,D,ExtraTrees,ok,815,157,2019,2026,128,0.07485409098100082,-0.09719713946259412,50.75349506765866,21.56727933301486,55.46958384814468
2019,external,D,HistGBR,ok,815,157,2019,2026,128,0.09074192529869407,-0.14665443230616138,50.315804565401244,23.41247852944537,63.66795436463444
2019,external,D,ElasticNet,ok,815,157,2019,2026,128,-0.4328754060832234,-0.2659925991900056,63.16333500771784,25.184127842661418,69.6386623213367
2019,external,D,XGBoost,ok,815,157,2019,2026,128,-0.04021357392304803,-0.20551163537955786,53.81732368407611,23.208789913687735,57.743655695303495
2019,external,D,LightGBM,ok,815,157,2019,2026,128,0.055143670290404456,-0.23589873341347323,51.291302379518974,23.98245038748123,65.66802495551862
2019,external,D,CatBoost,ok,815,157,2019,2026,128,0.037556472206839775,-0.06065167518680026,51.76645991747579,21.161211885957865,47.24567414091137
2019,external,E,ExtraTrees,ok,815,157,2019,2026,128,0.3508800996936603,0.1181609677613984,12.036621036098907,7.3700955412563225,26.105963640766205
2019,external,E,HistGBR,ok,815,157,2019,2026,128,0.2195740188905949,0.05819061423902305,13.197995774920248,8.310036829128745,28.460588067235264
2019,external,E,ElasticNet,ok,815,157,2019,2026,128,0.14418067992798467,0.06485206185420045,13.820799564899193,8.18750769572623,28.387813507108955
2019,external,E,XGBoost,ok,815,157,2019,2026,128,0.35288136227658107,0.1014944625896792,12.018052021057253,7.349457078678593,26.802083700015007
2019,external,E,LightGBM,ok,815,157,2019,2026,128,0.28391327500852137,0.07996029497171442,12.642266377587134,7.89855452716638,27.157677062091768
2019,external,E,CatBoost,ok,815,157,2019,2026,128,0.3803686879267112,0.16167976441950993,11.760040123412018,7.039246197471741,25.07670951602064
2019,external,F,ExtraTrees,ok,815,157,2019,2026,128,-0.007792351066451708,0.12990049173187468,591.7807231177055,102.31843853036675,64.25456300200632
